Arabic,French
جملة فعلية,Phrase verbale
جملة اسمية,Phrase nominale
اِسْتَطَاعَ,pouvoir
أَرَادَ,vouloir
كَادَ,à mai
شَرِبَ,boire
ضَرَبَ,frapper
ذَهَبَ,aller
جَلَسَ,s'asseoir
شَبِعَ,
أَكَلَ,manger
خَرَجَ,sortir
مَشَى,marcher
قَامَ,se lever
نَجَحَ,réussir
بَكَى,pleurer
سَمِعَ,entendre
جَاءَ,venir
عَرَفَ,savoir
رَسَبَ,échouer
تَعَلَّمَ,apprendre
لَعِبَ,boire
جَعَلَ,faire
شَكَرَ,remercier
جَهَّزَ,préparer
وَعَدَ,promettre
عَاشَ,vivre
وَقَفَ,se lever
سَجَدَ,prosterner
مَاتَ,mourir
قَبَضَ,attraper
غَفَرَ,pardonner
صَامَ,jeûner
رَسَمَ,dessiner
نَزَلَ,descendre
رَكَعَ,s'agenouiller
سَافَرَ,voyager
وَفَى,s'acquitter
لَبِسَ,porter
اجْتَهَدَ,diligent
وَجَدَ,trouver
وَصَلَ,arriver
قَرَأَ,lire
قَعَدَ,s'asseoir
قَالَ,dire
خَبَّرَ,informer
عَلِمَ,savoir
سَأَلَ,demander
رَمَى,lancer
شَاهَدَ,regarder
أَخَذَ,prendre
طَلَعَ,monter
حَفِظَ,apprendre par coeur
أَخْبَرَ,informer
نَامَ,dormir
سَاعَدَ,aider
كَتَبَ,écrire
حَدَّثَ,parler
جَرَى,courir
اشْتَرَى,acheter
أَسْرَعَ,accelérer
ذَاكَرَ,réviser
وَضَعَ,mettre
بَاعَ,vendre
فَهِمَ,comprendre
فَتَحَ,ouvrir
عَطِشَ,avoir soif
سَكَنَ,habiter
أَعْلَمَ,informer
كَسَرَ,casser
دَخَلَ,entrer
الماضي المعلوم,Passé
المضارع المعلوم,Présent / futur
الأمر,Impératif
معلوم,Actif
مبني للمجهول,passif
مثبت,Affirmative
منفي,Négatif
حَلِيبٌ,Lait
بَابٌ,Porte
أنا,je
نحن,Nous
أنت,Toi (masculin singulier)
أنتِ,Toi (singulier féminin)
أنتما,Vous (double masculin)
أنتما مؤ,Toi (double féminin)
أنتم,Toi (masculin pluriel)
أنتن,Toi (pluriel féminin)
هو,Il
هي,Elle
هما,Ils (double masculin)
هما مؤ,Ils (double féminin)
هم,Ils (masculins)
هن,Ils (féminins)
تُفَاحَةٌ,pomme
تِلْمِيذٌ,élève
ثَوْبٌ,vêtement
جَبَلٌ,montagne
حَقِيبَةٌ,bagage
خُضَرٌ,légumes
دَرْسٌ,Leçon
رَجُلٌ,homme
شَعْرٌ,cheveux
صَحْرَاءٌ,désert
صَوْتٌ,son
طَعَامٌ,nourriture
طَلَبَةٌ,Étudiants
عَصِيرٌ,jus
عَلَمٌ,drapeau
فَوَاكِهٌ,fruits
قَمَرٌ,lune
قُرْآنٌ,Coran
قِصَّةٌ,histoire
قِطَّةٌ,chat
كَأْسٌ,tasse
كُرَةٌ,balle
كِتَابٌ,livre
مَرأَةٌ,femme
مدْرَسةٌ,école
مسْرَحِيَّةٌ,un pièce de théatre
مُعَلِمٌ,Professeur
مِحْفَظَةٌ,portefeuille
نَاسٌ,personnes
أَحْيَانًا,parfois
البَارِحَةَ,hier
اليَوْمَ,aujourd'hui
سَاعَةً,heure
سَنَةً,année
شِتَاءً,hiver
صَبَاحًا,matin
صَيْفًا,été
ظُهْرًا,après midi
عَصْرًا,
غَدًا,demain
فَجْرًا,lever du soleil
لَحْظَةَ,Moment
لَيْلًا,nuit
مَسَاءً,soir
نَهْارًا,dans la journée
بَيْتٌ,maison
حَدِيقَةٌ,jardin
سُوقٌ,marché
طَرِيقٌ,route
غُرْفَةٌ,chambre
فِنَاءٌ,Cour
مَدِينَةٌ,ville
مَدْرَسَةٌ,école
مَسْجِدٌ,Mosquée
مَطْبَخٌ,cuisine
أَنِيقٌ,élégant
بَخِيلٌ,avare
بَشِعٌ,laid
بَطِيءٌ,lent
جَمِيلٌ,Beau
حَزِينٌ,triste
حَنُونٌ,compatissant
ذَكِيٌ,intelligent
سَرِيعٌ,rapide
سَعِيدٌ,content
سَمِينٌ,obèse
شُجَاعٌ,brave
ضَعِيفٌ,faible
طَوِيلٌ,long
غَبِيٌ,stupide
فَرِحٌ,joyeux
قَصِيرٌ,court
قَوِيٌ,fort
كَرِيمٌ,généreux
كَسُولٌ,paresseux
لَئِيمٌ,scélérat
مَسْرُورٌ,heureux
مُبْتَهِجٌ,gai
مُجْتَهِدٌ,assidu
مُرْتَفِعٌ,haut
مُنْخَفِضٌ,faible
هَزِيلٌ,maigre
وَسِيمٌ,Beau
أَحْمَد,Ahmed
وَلَدٌ,Garçon
أَبٌ,Père
أَحْمَدُ,Ahmed
أَسَدٌ,Lion
أُمٌّ,Mère
اِبْنٌ,fils
بِنْتٌ,fille
تَاجِرٌ,marchand
حِصَانٌ,cheval
دِيكٌ,coq
رَضِيعٌ,bébé
زُهُورٌ,fleurs
شُرْطِيٌّ,policier
طَالِبٌ,étudiant
طَبِيبٌ,médecin
طِفْلٌ,enfant
عَامِلٌ,Ouvrier
عُمَّالٌ,Ouvriers
فَاطِمَةُ,Fatima
فَرَاشَةٌ,papillon
قَاضٌِ,juge
قِطٌّ,chat
لَيْلَى,Leila
معَلِّمٌ,Professeur
مَرْأَةٌ,Femme
مَطَرٌ,pluie
مُحَمَدُ,Mohammed
مُسْلِمٌ,musulman
مُهَنْدِسٌ,Ingénieur
فعل:,Verbe:
زمن:,Temps:
مبني للمعلوم/مجهول:,Voix:
مثبت/منفي:,négatif affirmatif:
مفعول,Objet
ظرف زمان:,Temps:
ظرف مكان:,Lieu:
بناء,Construire
عشوائي,Aléatoire
عينة,un échantillon
حركة الإعراب,Marque d'inflexion
إظهار حركة الإعراب في أواخر الكلمات,Afficher la marque d'inflexion sur la fin du mot
اختيار عشوائي للمفردات,Choisissez des mots au hasard
نسخ عينة جيسون للتجارب البرمجية,Copiez un échantillon JSON pour faire des tests
بناء الجملة,Construire une phrase
مدونتي,Mon blog
الاستضافة بدعم من شركة,Supporté par

