,Arabic,Bangla revised
,جملة فعلية,মৌখিক বাক্যাংশ
,جملة اسمية,নামমাত্র বাক্যাংশ
,اِسْتَطَاعَ,করতে পারেন
,أَرَادَ,চাইতে
,كَادَ,মে
,شَرِبَ,পান করতে
,ضَرَبَ,আঘাত করার জন্য
,ذَهَبَ,যাও
,جَلَسَ,সাইট ডাউনলোড
,شَبِعَ,খাবারে পরিপূর্ণ হতে
,أَكَلَ,খেতে
,خَرَجَ,বাইরে যেতে
,مَشَى,হাঁটতে
,قَامَ,ওঠা
,نَجَحَ,সফল
,بَكَى,কাদতে
,سَمِعَ,শুনতে
,جَاءَ,আসা
,عَرَفَ,জানতে
,رَسَبَ,ব্যর্থ
,تَعَلَّمَ,শিখতে
,لَعِبَ,পান করা
,جَعَلَ,করতে
,شَكَرَ,আপনি
,جَهَّزَ,প্রস্তুত করা
,وَعَدَ,অঙ্গীকার
,عَاشَ,বাঁচতে
,وَقَفَ,উঠে দাঁড়াতে
,سَجَدَ,সিজদা
,مَاتَ,মরতে
,قَبَضَ,ধরা
,غَفَرَ,ক্ষমা করুন
,صَامَ,দ্রুত
,رَسَمَ,আঁকা
,نَزَلَ,ডাউনলোড যেতে
,رَكَعَ,হাঁটু
,سَافَرَ,ভ্রমণ করতে
,وَفَى,অনুগত হতে
,لَبِسَ,পরতে
,اجْتَهَدَ,কঠোর পরিশ্রম করতে
,وَجَدَ,খুঁজতে
,وَصَلَ,পৌঁছা
,قَرَأَ,পড়তে
,قَعَدَ,বসা
,قَالَ,বলতে
,خَبَّرَ,বলতে
,عَلِمَ,জানতে
,سَأَلَ,জিজ্ঞাসা করা
,رَمَى,নিক্ষেপ করা
,شَاهَدَ,দেখা
,أَخَذَ,নিতে
,طَلَعَ,উপরে যেতে
,حَفِظَ,বাঁচাতে
,أَخْبَرَ,বলতে
,نَامَ,ঘুমাতে
,سَاعَدَ,সহায়তা
,كَتَبَ,লিখতে
,حَدَّثَ,বলা
,جَرَى,চালানোর জন্য
,اشْتَرَى,কেনার জন্য
,أَسْرَعَ,গতি বাড়ানো
,ذَاكَرَ,সংশোধন করতে
,وَضَعَ,পাব
,بَاعَ,সেল
,فَهِمَ,আন্ডারস্ট্যান্ড
,فَتَحَ,খুলতে
,عَطِشَ,থ্র্যাক্ট হতে
,سَكَنَ,অধিষ্ঠান করা
,أَعْلَمَ,অবহিত
,كَسَرَ,ডাউনলোড ব্রেক
,دَخَلَ,প্রবেশ করতে
,الماضي المعلوم,অতীত
,المضارع المعلوم,পার্স/ভবিষ্যত
,الأمر,অপূর্ণ
,معلوم,সক্রিয়
,مبني للمجهول,প্যাসিভ
,مثبت,ইতিবাচক
,منفي,নেতিবাচক
,حَلِيبٌ,দুধ
,بَابٌ,দরজা
,أنا,আমি
,نحن,আমরা
,أنت,আপনি (পুংলিঙ্গ একক)
,أنتِ,আপনি (fminine একক)
,أنتما,আপনি (দ্বৈত পুংলিঙ্গ)
,أنتما مؤ,আপনি (দ্বৈত fminine)
,أنتم,আপনি (বহুবচন পুংলিঙ্গ)
,أنتن,আপনি (বহুবচন মেয়েলি)
,هو,তিনি
,هي,সে
,هما,তারা (দ্বৈত পুংলিঙ্গ)
,هما مؤ,তারা (দ্বৈত fminine)
,هم,তারা (পুংলিঙ্গ)
,هن,তারা (মেয়েলি)
,تُفَاحَةٌ,অ্যাপল
,تِلْمِيذٌ,ছাত্র
,ثَوْبٌ,পোষাক
,جَبَلٌ,পর্বত
,حَقِيبَةٌ,লটবহর
,خُضَرٌ,শাকসবজি
,دَرْسٌ,পাঠ
,رَجُلٌ,মানুষ
,شَعْرٌ,চুল
,صَحْرَاءٌ,মরুভূমি
,صَوْتٌ,শব্দ
,طَعَامٌ,খাদ্য
,طَلَبَةٌ,শিক্ষার্থীরা
,عَصِيرٌ,রস
,عَلَمٌ,পতাকা
,فَوَاكِهٌ,ফল
,قَمَرٌ,চাঁদ
,قُرْآنٌ,কুরআন
,قِصَّةٌ,গল্প
,قِطَّةٌ,বিড়াল
,كَأْسٌ,কাপ
,كُرَةٌ,বল
,كِتَابٌ,বই
,مَرأَةٌ,একজন মহিলা
,مدْرَسةٌ,বিদ্যালয়
,مسْرَحِيَّةٌ,একটি খেলা
,مُعَلِمٌ,শিক্ষক
,مِحْفَظَةٌ,ওয়ালেট
,نَاسٌ,মানুষ
,أَحْيَانًا,কখনও কখনও
,البَارِحَةَ,গতকাল
,اليَوْمَ,আজ
,سَاعَةً,ঘন্টা
,سَنَةً,বছর
,شِتَاءً,শীত
,صَبَاحًا,সকাল
,صَيْفًا,গ্রীষ্ম
,ظُهْرًا,দুপুরের পর (যোহরের নামাজের পর)
,عَصْرًا,দুপুরের পর (আসরের নামাজের পর)
,غَدًا,আগামীকাল
,فَجْرًا,সূর্য উত্থান
,لَحْظَةَ,মুহূর্ত
,لَيْلًا,রাত
,مَسَاءً,সন্ধ্যা
,نَهْارًا,দিনে
,بَيْتٌ,গৃহ
,حَدِيقَةٌ,বাগান
,سُوقٌ,বাজার
,طَرِيقٌ,রাস্তা
,غُرْفَةٌ,ঘর
,فِنَاءٌ,উঠোন
,مَدِينَةٌ,শহর
,مَدْرَسَةٌ,বিদ্যালয়
,مَسْجِدٌ,মসজিদ
,مَطْبَخٌ,রান্নাঘর
,أَنِيقٌ,মার্জিত
,بَخِيلٌ,স্টিনি
,بَشِعٌ,কুরুচিপূর্ণ
,بَطِيءٌ,ধীর
,جَمِيلٌ,বিউটিফুল
,حَزِينٌ,দু: খিত
,حَنُونٌ,সহানুভূতিশীল
,ذَكِيٌ,স্মার্ট
,سَرِيعٌ,দ্রুত
,سَعِيدٌ,খুশি
,سَمِينٌ,চর্বি
,شُجَاعٌ,সাহসী
,ضَعِيفٌ,দুর্বল
,طَوِيلٌ,দীর্ঘ
,غَبِيٌ,বোকা
,فَرِحٌ,আনন্দময়
,قَصِيرٌ,সংক্ষিপ্ত
,قَوِيٌ,শক্তিশালী
,كَرِيمٌ,উদার
,كَسُولٌ,অলস
,لَئِيمٌ,দুর্বৃত্ত
,مَسْرُورٌ,খুশি
,مُبْتَهِجٌ,চেরি
,مُجْتَهِدٌ,পরিশ্রমী
,مُرْتَفِعٌ,উচ্চ
,مُنْخَفِضٌ,কম
,هَزِيلٌ,স্বল্প
,وَسِيمٌ,সুদর্শন
,أَحْمَد,আহমেদ
,وَلَدٌ,ছেলে
,أَبٌ,পিতা
,أَحْمَدُ,আহমেদ
,أَسَدٌ,সিংহ
,أُمٌّ,মা
,اِبْنٌ,পুত্র
,بِنْتٌ,মেয়ে
,تَاجِرٌ,বণিক
,حِصَانٌ,ঘোড়া
,دِيكٌ,মোরগ
,رَضِيعٌ,বাবু
,زُهُورٌ,ফুল
,شُرْطِيٌّ,পুলিশ সদস্য
,طَالِبٌ,ছাত্র
,طَبِيبٌ,ডাক্তার
,طِفْلٌ,শিশু
,عَامِلٌ,কর্মী
,عُمَّالٌ,শ্রমিকরা
,فَاطِمَةُ,ফাতিমা
,فَرَاشَةٌ,প্রজাপতি
,قَاضٌِ,বিচারক
,قِطٌّ,বিড়াল
,لَيْلَى,লায়লা
,معَلِّمٌ,শিক্ষক
,مَرْأَةٌ,মহিলা
,مَطَرٌ,বৃষ্টি
,مُحَمَدُ,মোহাম্মদ
,مُسْلِمٌ,মুসলিম
,مُهَنْدِسٌ,প্রকৌশলী
,فعل:,ক্রিয়া:
,زمن:,ক্রিয়ার কাল:
,مبني للمعلوم/مجهول:,ভয়েস:
,مثبت/منفي:,ইতিবাচক/নেতিবাচক:
,مفعول,অবজেক্ট
,ظرف زمان:,সময়:
,ظرف مكان:,স্থান:
,بناء,বিল্ড
,عشوائي,এলোমেলো
,عينة,নমুনা
,حركة الإعراب,প্রতিচ্ছবি চিহ্ন
,إظهار حركة الإعراب في أواخر الكلمات,শব্দের সমাপ্তিতে প্রতিফলন চিহ্ন দেখান
,اختيار عشوائي للمفردات,এলোমেলোভাবে শব্দ চয়ন করুন
,نسخ عينة جيسون للتجارب البرمجية,পরীক্ষা করতে একটি JSON নমুনা অনুলিপি করুন
,بناء الجملة,একটি বাক্যাংশ তৈরি করুন
,مدونتي,আমার ব্লগ
,الاستضافة بدعم من شركة,দ্বারা সমর্থিত
